Entity,Code,Average Rate of Agricultural land (% of land area),Average Rate Trend of Agricultural land (% of land area),Average Rate of Forest area (% of land area),Average Rate Trend of Forest area (% of land area),Average Rate of GDP per capita (current US$),Average Rate Trend of GDP per capita (current US$),Corruption Perception Index - Transparency International (2018),Human Development Index (UNDP)
Aruba,ABW,11.1111,0.0,2.3333,0.0,25387.7457,454.3392,,
Africa Eastern and Southern,AFE,44.739,-0.0232,32.4447,-0.2282,1342.212,41.0753,,
Afghanistan,AFG,58.1366,0.0277,1.8528,0.0,,,12.142857142857142,0.4485625
Africa Western and Central,AFW,38.7831,0.1378,20.6886,-0.0891,1447.9548,64.8369,,
Angola,AGO,42.0572,0.4159,57.8792,-0.4452,2654.417,78.513,19.285714285714285,0.49805555555555553
Albania,ALB,42.3591,0.056,28.5176,0.037,3627.3402,221.8303,35.142857142857146,0.7302777777777778
Andorra,AND,43.4509,-0.4656,34.0426,0.0,38044.1209,941.8251,,0.8258333333333332
Arab World,ARB,38.5405,-0.1602,3.2192,-0.0382,5481.346,183.8716,,
United Arab Emirates,ARE,6.417,-0.1189,4.4387,0.0057,38384.8439,437.2899,69.14285714285714,0.8342777777777777
Argentina,ARG,44.7664,-0.3876,11.161,-0.0893,9239.9918,111.6065,35.714285714285715,0.7991666666666667
Armenia,ARM,57.1012,0.6517,11.6108,-0.0073,2886.8631,204.1752,35.0,0.7121666666666666
American Samoa,ASM,24.9819,-0.5125,87.15,-0.15,,,,
Antigua and Barbuda,ATG,20.4545,0.0,19.9594,-0.1517,13555.4015,304.4539,,0.7713076923076922
Australia,AUS,50.9967,-0.6521,17.1395,0.0142,45552.6061,1732.7071,79.71428571428571,0.9189444444444445
Austria,AUT,33.6669,-0.1812,46.8499,0.0368,43215.3014,1322.3198,73.14285714285714,0.8771666666666668
Azerbaijan,AZE,57.6343,0.0225,12.6485,0.0855,4098.9849,210.2386,28.428571428571427,0.7133333333333334
Burundi,BDI,74.6755,0.3484,8.8235,0.1756,205.2053,4.7588,20.0,0.36938888888888893
Belgium,BEL,44.9453,-0.0529,22.5806,0.0373,40354.6483,1219.4076,75.71428571428571,0.8972222222222224
Benin,BEN,32.4258,0.3442,32.2379,-0.4434,994.4074,38.0724,37.57142857142857,0.46333333333333343
Burkina Faso,BFA,42.3264,0.418,24.5485,-0.1828,600.8076,29.1056,39.57142857142857,0.357
Bangladesh,BGD,72.0904,0.1853,14.5566,-0.0146,994.3813,92.9446,26.142857142857142,0.5352777777777779
Bulgaria,BGR,47.3398,-0.2024,33.893,0.2727,6204.3021,435.2943,41.714285714285715,0.7681666666666668
Bahrain,BHR,11.5013,-0.1043,0.6926,0.0183,20187.8001,490.6081,44.857142857142854,0.8036111111111113
"Bahamas, The",BHS,1.3653,0.0053,50.9351,0.0,29699.0397,230.2815,,
Bosnia and Herzegovina,BIH,42.2855,0.0894,41.6608,0.0786,4215.654,242.6911,39.42857142857143,0.7185555555555556
Belarus,BLR,43.3324,-0.2246,42.2005,0.1218,4954.1119,289.4124,35.857142857142854,0.760611111111111
Belize,BLZ,6.9706,0.0531,60.4515,-0.3973,4280.6502,71.4111,,0.698
Bermuda,BMU,6.261,-0.0975,18.5185,0.0,92933.3079,3005.646,,
Bolivia,BOL,34.5415,0.0311,48.9531,-0.1976,2115.4768,129.6392,33.142857142857146,0.6457222222222222
Brazil,BRA,27.7865,0.0537,61.9592,-0.3312,7881.9698,250.4352,39.714285714285715,0.7208333333333334
Barbados,BRB,32.5028,-0.9792,14.6512,0.0,15332.5197,351.8979,70.33333333333333,0.7783333333333334
Brunei Darussalam,BRN,2.3394,0.0315,72.9511,-0.1655,30524.8199,660.4123,,
Bhutan,BTN,14.0914,-0.0568,69.8623,0.309,2064.0418,132.2414,65.14285714285714,0.5693076923076923
Botswana,BWA,45.638,-0.0048,29.0045,-0.2087,5944.653,187.4497,62.42857142857143,0.6400555555555556
Central African Republic,CAF,8.2346,-0.0058,36.2821,-0.0482,403.8739,11.5793,24.0,0.337
Canada,CAN,6.6213,-0.019,38.7417,-0.0049,41197.5529,1126.4371,82.0,0.8988333333333333
Central Europe and the Baltics,CEB,48.1613,-0.3227,33.6835,0.1073,11371.051,645.1844,,
Switzerland,CHE,38.8337,-0.0778,31.2173,0.0927,71247.9862,2454.2111,85.57142857142857,0.919388888888889
Channel Islands,CHI,,,,,,,,
Chile,CHL,21.0935,0.0397,22.7387,0.1613,11066.4493,492.2235,69.42857142857143,0.8032222222222223
China,CHN,55.9785,0.0259,21.1706,0.2288,5062.5222,485.6442,38.857142857142854,0.6821666666666666
Cote d'Ivoire,CIV,64.72,0.2648,12.4704,-0.355,1685.2683,67.5637,32.142857142857146,0.43577777777777776
Cameroon,CMR,20.0732,0.0657,44.2901,-0.1333,1277.0942,44.8087,25.857142857142858,0.49705555555555553
"Congo, Dem. Rep.",COD,12.7929,0.1881,60.0106,-0.3889,367.6425,12.6894,,
"Congo, Rep.",COG,30.992,0.0136,64.6388,-0.0362,2307.3625,66.3612,,
Colombia,COL,39.8178,0.2461,54.9038,-0.1611,5233.086,191.67,36.57142857142857,0.7042222222222221
Comoros,COM,71.4414,-0.0707,20.043,-0.2353,1214.4604,39.4411,26.571428571428573,0.4818571428571429
Cabo Verde,CPV,19.2249,0.0979,10.6005,0.0744,2866.4209,115.8594,,
Costa Rica,CRI,35.3105,-0.0683,56.9997,0.1701,8214.6146,462.6431,55.57142857142857,0.7505000000000001
Caribbean small states,CSS,4.9975,0.0101,90.4239,-0.05,8633.1734,248.9935,,
Cuba,CUB,61.213,0.0213,27.6032,0.4445,5804.3584,339.1639,46.857142857142854,0.7494444444444445
Curacao,CUW,,,,,,,,
Cayman Islands,CYM,11.25,0.0,53.247,-0.0449,,,,
Cyprus,CYP,14.2244,-0.078,18.6618,0.0052,26088.456,754.1225,60.57142857142857,0.8421666666666666
Czechia,CZE,46.8934,-0.5127,34.4079,0.0274,17185.7809,910.3921,53.57142857142857,0.8500555555555556
Germany,DEU,48.2206,-0.0653,32.6696,0.0074,39623.0862,1209.5367,79.85714285714286,0.9118333333333334
Djibouti,DJI,73.1602,0.1839,0.2423,0.0003,1732.5256,127.0066,33.142857142857146,0.42955555555555547
Dominica,DMA,31.4286,0.2632,63.8267,0.0,6477.0257,175.0828,57.833333333333336,0.7126111111111111
Denmark,DNK,66.2659,-0.0392,14.9396,0.0734,53023.6265,1544.8452,90.0,0.9077222222222223
Dominican Republic,DOM,50.1385,-0.0937,42.7276,0.1776,5360.8798,270.1261,30.857142857142858,0.6945555555555556
Algeria,DZA,17.2467,0.0291,0.7728,0.0078,3787.8174,108.4234,34.857142857142854,0.7109444444444444
East Asia & Pacific (excluding high income),EAP,48.3898,0.0495,29.7846,0.0814,4253.8521,380.6765,,
Early-demographic dividend,EAR,40.05,-0.0482,23.5433,-0.0774,2637.5078,110.9785,,
East Asia & Pacific,EAS,48.4264,-0.1859,26.6361,0.0573,7563.4598,393.8039,,
Europe & Central Asia (excluding high income),ECA,27.7021,-0.0262,39.3368,0.0239,6527.7745,324.7864,,
Europe & Central Asia,ECS,29.4364,-0.0532,38.2579,0.0331,21653.3387,682.7496,,
Ecuador,ECU,27.5877,-0.5601,52.6921,-0.2473,4452.5029,237.696,32.714285714285715,0.7103333333333333
"Egypt, Arab Rep.",EGY,3.6506,0.0334,0.0568,-0.0008,2322.5502,90.7481,,
Euro area,EMU,44.6724,-0.2152,37.7885,0.1097,34540.2986,980.2951,,
Eritrea,ERI,64.9025,-0.6238,9.3262,-0.1227,,,20.428571428571427,0.4206153846153846
Spain,ESP,55.4296,-0.3745,36.3831,0.1491,26916.4849,738.1821,59.285714285714285,0.8577777777777776
Estonia,EST,21.6831,0.0214,54.9888,0.2192,15108.1487,1006.9778,69.28571428571429,0.8362777777777778
Ethiopia,ETH,31.7884,0.1713,16.1705,-0.1757,421.0009,39.5998,33.57142857142857,0.38455555555555554
European Union,EUU,42.6629,-0.2292,39.0749,0.0943,30204.7588,939.7066,,
Fragile and conflict affected situations,FCS,34.8979,0.0013,24.3622,-0.1346,1699.5946,53.0776,,
Finland,FIN,7.4628,0.0102,73.5201,0.0029,43019.4125,1276.8584,88.14285714285714,0.8969444444444444
Fiji,FJI,18.058,-0.1667,58.7433,0.3655,4247.3162,202.5305,,0.7097222222222223
France,FRA,53.0766,-0.1133,29.843,0.1802,37021.3053,935.0131,70.28571428571429,0.8765555555555555
Faroe Islands,FRO,69.1485,0.0114,0.0574,0.0,48075.2362,2295.8825,,
"Micronesia, Fed. Sts.",FSM,31.7347,-0.0376,91.6201,0.0399,2793.3423,74.3626,,
Gabon,GAB,8.281,0.0295,91.7124,-0.0325,7453.1694,181.3381,34.0,0.6631666666666667
United Kingdom,GBR,71.3484,0.1076,12.7,0.0495,40791.3504,760.9727,78.85714285714286,0.8966111111111109
Georgia,GEO,36.7529,-0.4748,40.383,0.0456,3061.3872,201.2168,53.714285714285715,0.7290555555555556
Ghana,GHA,56.015,-0.1122,35.9335,-0.1956,1323.376,104.6,44.285714285714285,0.5386666666666665
Gibraltar,GIB,,,0.0,0.0,,,,
Guinea,GIN,58.2169,0.0901,26.7221,-0.1501,652.8523,36.9752,25.714285714285715,0.39549999999999996
"Gambia, The",GMB,56.3618,0.2912,29.6443,-0.5665,682.1087,10.3561,,
Guinea-Bissau,GNB,26.5419,0.2805,73.4152,-0.3003,556.0954,22.7525,18.428571428571427,0.4296153846153846
Equatorial Guinea,GNQ,7.0299,-0.0415,90.2676,-0.298,12005.0611,326.9832,18.0,0.5698888888888889
Greece,GRC,56.1781,-1.0776,29.6572,0.1201,21245.8159,345.7985,43.142857142857146,0.8458888888888888
Grenada,GRD,26.0504,-0.6579,52.0588,0.0,7618.2096,283.7466,53.333333333333336,0.7410625
Greenland,GRL,0.59,0.0004,0.0005,0.0,40781.883,1816.4648,,
Guatemala,GTM,39.0668,-0.4525,35.3643,-0.3244,3039.9848,157.5788,29.285714285714285,0.5988333333333332
Guam,GUM,33.9506,-0.3899,46.4727,0.3899,,,,
Guyana,GUY,5.9951,0.0319,93.9934,-0.0377,4007.8416,302.1791,31.857142857142858,0.6271111111111111
High income,HIC,36.1917,-0.194,29.0907,0.0258,37197.4173,1014.5979,,
"Hong Kong SAR, China",HKG,5.5102,-0.1128,,,34795.3402,1166.697,,
Honduras,HND,29.18,0.2708,58.7285,-0.1873,1839.1044,75.2144,28.857142857142858,0.5884444444444443
Heavily indebted poor countries (HIPC),HPC,38.3401,0.0088,28.5522,-0.1456,759.4613,32.6884,,
Croatia,HRV,24.0588,0.3122,34.2095,0.0467,12123.5578,526.2069,48.42857142857143,0.798611111111111
Haiti,HTI,64.4245,0.296,13.4556,-0.0591,1099.8784,27.1063,19.428571428571427,0.46838888888888885
Hungary,HUN,61.2571,-0.4497,22.3247,0.0546,12331.6924,620.1853,50.42857142857143,0.813111111111111
IBRD only,IBD,36.1916,-0.0194,34.1871,-0.0307,4162.8145,259.5619,,
IDA & IBRD total,IBT,37.1577,-0.0067,32.3612,-0.0642,3409.093,202.5236,,
IDA total,IDA,39.9122,0.028,27.1588,-0.157,1052.4677,47.1556,,
IDA blend,IDB,44.6136,0.0437,30.4959,-0.0748,1412.8625,65.9949,,
Indonesia,IDN,29.4887,0.4203,52.1713,-0.2425,2571.0858,173.5188,35.142857142857146,0.6525555555555557
IDA only,IDX,38.9099,0.0254,26.4476,-0.1741,871.4279,37.5349,,
Isle of Man,IMN,74.1061,-0.344,6.0702,0.0,,,,
India,IND,60.479,-0.032,23.4411,0.0765,1228.3945,83.7937,38.42857142857143,0.5671111111111112
Not classified,INX,,,,,,,,
Ireland,IRL,64.604,0.0837,10.3687,0.1119,54927.6784,2905.2145,72.85714285714286,0.9011111111111111
"Iran, Islamic Rep.",IRN,31.2105,-0.5146,6.3547,0.0461,4621.9065,83.9399,,
Iraq,IRQ,20.2862,0.1169,1.89,0.0016,4044.8947,194.0124,17.0,0.6435000000000001
Iceland,ISL,18.7092,-0.0146,0.4241,0.0107,52056.9911,1853.972,78.42857142857143,0.8980555555555555
Israel,ISR,25.5167,0.184,7.0229,-0.0317,30438.8941,1217.5083,61.285714285714285,0.8815000000000001
Italy,ITA,47.2704,-0.4472,30.4223,0.2029,32289.9365,683.4431,45.857142857142854,0.8628888888888889
Jamaica,JAM,42.0261,-0.1701,51.5844,0.3501,4525.7348,94.1974,40.285714285714285,0.7049444444444444
Jordan,JOR,11.5815,-0.0173,1.1011,-0.0004,3275.5081,142.4211,48.57142857142857,0.7263333333333333
Japan,JPN,12.6557,-0.1084,68.4009,0.0082,39351.0538,123.3936,73.85714285714286,0.883
Kazakhstan,KAZ,79.4434,-0.0231,1.1886,0.0054,7466.0484,439.2302,28.857142857142858,0.7575000000000002
Kenya,KEN,47.9763,0.0848,6.4795,-0.0316,1070.3761,79.1087,26.428571428571427,0.5233888888888889
Kyrgyz Republic,KGZ,55.3888,-0.0991,6.4257,0.0328,875.9935,54.702,,
Cambodia,KHM,30.5124,0.2857,55.883,-0.7726,862.2258,69.1301,20.857142857142858,0.5160555555555556
Kiribati,KIR,41.9753,0.0,1.4568,0.0,1373.7213,38.5259,,0.5880555555555556
St. Kitts and Nevis,KNA,24.6209,-0.6984,42.3077,0.0,15655.0106,600.0477,,
"Korea, Rep.",KOR,18.4742,-0.1913,65.7197,-0.1354,23358.8716,1039.1123,,
Kuwait,KWT,8.4643,0.0037,0.3302,0.004,34750.0237,658.1993,43.0,0.792388888888889
Latin America & Caribbean (excluding high income),LAC,33.8491,-0.0468,49.3569,-0.232,6972.8975,192.6084,,
Lao PDR,LAO,9.1677,0.0618,73.5573,-0.1805,1334.5134,120.3726,,
Lebanon,LBN,63.7742,0.3803,13.6003,0.0243,6282.9563,111.6685,28.142857142857142,0.7496153846153847
Liberia,LBR,17.7288,0.2935,82.2263,-0.3142,517.4531,18.301,36.142857142857146,0.4003888888888889
Libya,LBY,8.7407,-0.003,0.1233,0.0,9138.1644,139.127,16.857142857142858,0.7299444444444445
St. Lucia,LCA,17.5527,-0.3611,34.1522,-0.0202,8487.473,264.2752,,
Latin America & Caribbean,LCN,33.3466,-0.0438,48.2549,-0.2103,7387.9474,209.4852,,
Least developed countries: UN classification,LDC,38.4086,0.0465,28.1822,-0.1915,767.481,40.8975,,
Low income,LIC,39.298,-0.0059,23.7544,-0.1479,761.3554,12.5269,,
Liechtenstein,LIE,36.744,-0.5567,41.8732,0.0,,,,0.8957222222222223
Sri Lanka,LKA,41.5835,0.4196,34.0545,-0.0172,2535.7025,155.2209,37.714285714285715,0.7343333333333333
Lower middle income,LMC,41.4067,0.025,26.2074,-0.094,1619.8874,92.4054,,
Low & middle income,LMY,37.243,-0.0041,32.2873,-0.0659,3266.8707,197.0315,,
Lesotho,LSO,76.6642,-0.1344,1.137,0.0,931.9694,36.7859,44.142857142857146,0.48511111111111105
Late-demographic dividend,LTE,34.5955,-0.0001,39.4287,-0.0019,5952.3505,433.1885,,
Lithuania,LTU,45.6354,-0.2668,34.1438,0.15,12260.0876,862.5544,57.857142857142854,0.8183888888888889
Luxembourg,LUX,50.5823,0.0762,34.2504,0.0399,97952.0265,3442.0183,81.57142857142857,0.8834444444444443
Latvia,LVA,29.0032,0.318,53.8013,0.1383,11880.8436,760.81,55.142857142857146,0.8070555555555553
"Macao SAR, China",MAC,,,,,51562.9881,3089.763,,
St. Martin (French part),MAF,,,,,,,,
Morocco,MAR,67.833,-0.0916,12.6444,0.0264,2555.2709,97.6259,38.42857142857143,0.6046666666666667
Monaco,MCO,,,0.0,0.0,150220.0007,5412.2202,,
Moldova,MDA,73.8438,-0.4495,11.289,0.0661,2300.3144,212.7961,33.285714285714285,0.6607777777777777
Madagascar,MDG,70.2571,0.0263,21.7482,-0.0529,441.6863,11.0661,27.285714285714285,0.492
Maldives,MDV,25.7778,-0.5,2.7333,0.0,6507.7078,379.8208,33.333333333333336,0.6623333333333334
Middle East & North Africa,MEA,33.6146,-0.0634,1.9916,0.0098,6400.3614,213.8677,,
Mexico,MEX,52.5201,-0.2713,34.4635,-0.0692,8997.7187,121.8988,31.571428571428573,0.7403888888888888
Marshall Islands,MHL,61.5873,-0.9942,52.2222,0.0,2997.8462,93.9748,,0.708
Middle income,MIC,36.8321,-0.0041,33.9962,-0.048,3534.3819,219.5027,,
North Macedonia,MKD,48.1728,0.0787,38.5265,0.1081,4260.931,219.0647,40.42857142857143,0.7195
Mali,MLI,33.3706,0.1049,10.8967,0.0,654.0816,31.3191,32.0,0.3806111111111112
Malta,MLT,31.1682,0.1859,1.1577,0.0181,21261.6032,1063.2132,56.142857142857146,0.8322777777777778
Myanmar,MMR,18.5741,0.1739,48.3454,-0.4819,731.2538,61.743,23.714285714285715,0.5110555555555556
Middle East & North Africa (excluding high income),MNA,23.2625,-0.0831,2.4185,0.0128,3499.8059,82.966,,
Montenegro,MNE,30.6341,-1.0087,,,5808.283,363.5986,43.857142857142854,0.7858
Mongolia,MNG,74.7539,-0.6088,9.1301,-0.0061,2569.1208,201.6945,37.57142857142857,0.6790555555555555
Northern Mariana Islands,MNP,4.2774,-0.2815,63.5041,-0.8649,,,,
Mozambique,MOZ,50.3843,0.2616,49.571,-0.2826,478.4409,9.4072,28.285714285714285,0.3813333333333333
Mauritania,MRT,38.4881,-0.0041,0.3563,-0.0053,1365.7073,56.0075,29.142857142857142,0.4816666666666667
Mauritius,MUS,45.0152,-0.3954,19.3894,-0.0804,7692.0459,345.7949,53.0,0.7369444444444445
Malawi,MWI,56.9353,0.4996,28.2319,-0.4455,381.469,23.5858,33.142857142857146,0.4239444444444445
Malaysia,MYS,23.361,0.2612,58.6812,-0.0835,8197.5093,377.1896,49.142857142857146,0.7602222222222221
North America,NAC,25.8343,-0.0337,36.1603,0.0169,49182.6657,1437.4042,,
Namibia,NAM,47.1435,-0.0006,8.9264,-0.0863,4301.5958,141.2427,50.57142857142857,0.591111111111111
New Caledonia,NCL,11.3493,-0.1777,45.8672,0.0006,31437.224,996.9524,,
Niger,NER,34.22,0.3884,0.9504,-0.0098,429.1021,18.7907,34.0,0.3058888888888889
Nigeria,NGA,74.4612,0.1793,25.5388,-0.1793,1877.2135,85.4276,26.714285714285715,0.49473333333333336
Nicaragua,NIC,42.6581,-0.037,35.9567,-0.8251,1552.9052,47.5843,27.0,0.6153888888888888
Netherlands,NLD,55.771,-0.1998,10.8891,0.0155,46007.7669,1372.1687,83.0,0.9049999999999999
Norway,NOR,2.7698,-0.0083,33.2056,0.0105,74566.625,1862.5244,85.57142857142857,0.9367777777777779
Nepal,NPL,29.0268,-0.0479,41.2595,0.0649,642.6433,49.9625,29.285714285714285,0.5102222222222224
Nauru,NRU,20.0,0.0,0.0,0.0,,,,
New Zealand,NZL,43.9991,-1.0228,37.4154,0.0044,32713.9754,1518.2376,89.85714285714286,0.8959444444444445
OECD members,OED,35.2916,-0.2012,32.5932,0.0183,33376.1884,854.0578,,
Oman,OMN,4.5565,0.0489,0.0094,-0.0001,16537.038,438.2594,46.42857142857143,0.7745555555555553
Other small states,OSS,38.5246,-0.0009,29.6925,-0.0892,10938.0069,471.1237,,
Pakistan,PAK,47.0653,-0.0235,5.333,-0.0508,1059.2039,46.472,30.142857142857142,0.5131666666666667
Panama,PAN,29.9851,-0.0334,58.2688,-0.1471,9145.3483,573.7529,37.285714285714285,0.7546666666666667
Peru,PER,19.0164,0.0498,57.7548,-0.1154,4692.4649,254.9801,36.714285714285715,0.7140555555555554
Philippines,PHL,40.3182,0.2523,23.6579,-0.0238,2192.5179,125.6351,35.42857142857143,0.6622777777777777
Palau,PLW,9.3478,0.0,88.1046,0.1997,11653.4227,379.9377,,0.7693333333333333
Papua New Guinea,PNG,2.4837,0.0214,79.7637,-0.0459,1836.3758,117.0485,26.428571428571427,0.5033888888888888
Poland,POL,50.2929,-0.6428,30.3754,0.0711,11157.5116,584.7824,60.57142857142857,0.8253333333333334
Pre-demographic dividend,PRE,40.7389,0.0476,27.6144,-0.1731,1213.6833,49.9116,,
Puerto Rico,PRI,22.0358,-0.452,53.7102,0.3872,25683.7439,832.6571,,
"Korea, Dem. People's Rep.",PRK,21.6316,0.0175,51.8428,-0.1763,,,,
Portugal,PRT,40.9743,-0.0268,35.8535,0.0161,19974.7457,603.594,63.0,0.8161666666666668
Paraguay,PRY,40.49,0.2241,49.0388,-0.8736,3895.2667,191.6124,26.857142857142858,0.6663333333333333
West Bank and Gaza,PSE,75.0823,-0.4664,1.627,0.0091,2461.8322,111.0536,,
Pacific island small states,PSS,12.0243,-0.0021,67.5725,0.0898,3128.5156,126.8375,,
Post-demographic dividend,PST,34.7221,-0.2113,31.8854,0.0256,38031.8128,1031.9839,,
French Polynesia,PYF,13.0606,0.0682,42.991,0.0135,,,,
Qatar,QAT,5.9403,0.0394,0.0,0.0,59158.6971,1551.8763,66.0,0.8343888888888887
Romania,ROU,60.8099,-0.2514,28.8252,0.1256,7737.6024,590.1277,45.57142857142857,0.7743888888888889
Russian Federation,RUS,13.1737,-0.0049,49.6761,0.0196,8908.145,491.5211,,
Rwanda,RWA,73.0311,0.2602,11.0912,-0.0239,554.4972,29.2924,53.42857142857143,0.44761111111111124
South Asia,SAS,56.7397,-0.0104,18.3685,0.0422,1180.4148,79.2444,,
Saudi Arabia,SAU,80.756,-0.0047,0.4545,0.0,17904.0142,715.22,47.857142857142854,0.7998888888888889
Sudan,SDN,48.2851,-0.9619,11.1091,-0.1201,1349.2241,17.4514,13.285714285714286,0.4572777777777778
Senegal,SEN,46.2058,-0.0251,43.9632,-0.2038,1170.0589,43.1666,42.714285714285715,0.4465555555555556
Singapore,SGP,1.1228,-0.0458,24.2576,-0.1843,44734.7776,2170.6057,85.0,0.8846111111111112
Solomon Islands,SLB,3.6042,0.0766,90.3995,-0.0261,1647.016,69.2712,41.666666666666664,0.5036666666666665
Sierra Leone,SLE,51.9443,0.7956,37.852,-0.2733,425.1816,18.8049,30.142857142857142,0.36872222222222223
El Salvador,SLV,61.2369,-0.447,30.3514,-0.2172,3073.3971,108.2225,36.857142857142854,0.6555555555555554
San Marino,SMR,22.8571,1.1404,16.6667,0.0,53090.1768,528.3274,,
Somalia,SOM,70.3672,0.0048,10.7557,-0.1223,,,8.714285714285714,
Serbia,SRB,40.1879,-0.0298,,,5267.55,335.6667,40.57142857142857,0.7531666666666668
Sub-Saharan Africa (excluding high income),SSA,42.473,0.0395,27.9726,-0.1725,1383.2045,50.7206,,
South Sudan,SSD,,,,,,,13.333333333333334,0.39837500000000003
Sub-Saharan Africa,SSF,42.4723,0.0395,27.9735,-0.1725,1384.2932,50.7424,,
Small states,SST,32.4157,0.0008,40.5149,-0.0811,10013.8481,409.364,,
Sao Tome and Principe,STP,48.4623,-0.3015,58.9003,-0.3283,,,43.714285714285715,0.5367777777777778
Suriname,SUR,0.5146,-0.0012,97.9785,-0.0453,5955.2755,232.7667,39.142857142857146,0.6997857142857143
Slovak Republic,SVK,41.2646,-0.5564,39.8392,0.0272,14827.2933,725.9884,,
Slovenia,SVN,28.47,0.2507,61.6781,0.0163,21009.643,818.8776,59.714285714285715,0.8701666666666666
Sweden,SWE,7.526,0.0015,68.8906,-0.0229,48699.3521,1210.4725,87.14285714285714,0.9085555555555557
Eswatini,SWZ,71.0936,-0.0038,28.2225,0.0706,3310.8989,110.4786,39.2,0.5219444444444444
Sint Maarten (Dutch part),SXM,,,,,,,,
Seychelles,SYC,5.6625,-0.2803,73.2609,0.0,12237.2694,441.4508,57.0,0.747611111111111
Syrian Arab Republic,SYR,75.5679,0.0625,2.6562,0.0255,,,,
Turks and Caicos Islands,TCA,1.0526,0.0,11.0737,0.0,,,,
Chad,TCD,39.2789,0.0641,4.3027,-0.081,681.0252,27.4381,20.142857142857142,0.3568333333333334
East Asia & Pacific (IDA & IBRD countries),TEA,48.5927,0.0498,29.6168,0.0833,4301.4896,384.8788,,
Europe & Central Asia (IDA & IBRD countries),TEC,28.3254,-0.0358,39.0994,0.0257,7028.8443,358.0402,,
Togo,TGO,67.3399,0.4016,22.7775,-0.0544,569.3173,31.4909,30.571428571428573,0.4548888888888889
Thailand,THA,41.3712,0.3196,38.6762,0.0902,4718.7706,298.4928,36.57142857142857,0.7084444444444444
Tajikistan,TJK,34.056,0.1452,2.971,0.0062,650.7772,38.6596,23.428571428571427,0.6122777777777778
Turkmenistan,TKM,73.1269,-0.1861,8.7822,0.0,,,18.571428571428573,0.6924999999999999
Latin America & the Caribbean (IDA & IBRD countries),TLA,33.2222,-0.0437,48.3643,-0.2143,7265.666,204.4931,,
Timor-Leste,TLS,22.7162,0.0159,62.886,-0.0941,886.7617,58.1426,,
Middle East & North Africa (IDA & IBRD countries),TMN,23.2264,-0.0828,2.419,0.0128,3511.6034,82.6622,,
Tonga,TON,44.9074,0.3655,12.4306,0.0,3475.958,147.6505,,0.703388888888889
South Asia (IDA & IBRD),TSA,56.7397,-0.0104,18.3685,0.0422,1180.4148,79.2444,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,42.4723,0.0395,27.9735,-0.1725,1384.2932,50.7424,,
Trinidad and Tobago,TTO,10.8234,-0.1154,45.3047,-0.0825,14975.2798,531.7114,38.714285714285715,0.7612222222222221
Tunisia,TUN,63.0519,0.0654,4.4175,0.0113,3628.507,71.3752,40.857142857142854,0.7018333333333333
Turkiye,TUR,51.0151,-0.1965,27.4347,0.1321,8845.6836,259.8109,,
Tuvalu,TUV,59.3651,-0.2193,33.3333,0.0,3064.8188,162.3347,,
Tanzania,TZA,41.7073,0.3171,56.3115,-0.4445,740.5375,35.457,33.285714285714285,0.4735555555555555
Uganda,UGA,69.24,0.4812,13.7416,-0.2087,596.1422,28.8514,26.142857142857142,0.46499999999999997
Ukraine,UKR,71.4004,-0.0085,16.5438,0.0158,2600.6209,157.2798,27.857142857142858,0.7232222222222222
Upper middle income,UMC,34.6992,-0.0177,37.6295,-0.0268,5949.5306,393.8454,,
Uruguay,URY,83.1249,-0.2549,9.8545,0.1916,11415.0643,547.0175,71.85714285714286,0.7728333333333334
United States,USA,44.654,-0.0464,33.6319,0.038,50062.1361,1476.1658,73.71428571428571,0.9067777777777777
Uzbekistan,UZB,59.4909,-0.2425,7.6491,0.0797,1438.201,65.3987,19.571428571428573,0.6544444444444445
St. Vincent and the Grenadines,VCT,17.9487,0.0,73.1795,0.0,6395.4864,215.216,,
"Venezuela, RB",VEN,24.4156,-0.0081,53.9047,-0.1699,,,,
British Virgin Islands,VGB,46.6667,0.0,24.2683,-0.0173,,,,
Virgin Islands (U.S.),VIR,13.0476,-0.5564,55.2844,-0.0935,,,,
Vietnam,VNM,34.3025,0.5638,42.6374,0.4487,1722.601,160.8744,32.142857142857146,0.6417777777777778
Vanuatu,VUT,15.1451,0.0497,36.2838,0.0,2461.5903,85.7065,44.5,0.5910769230769229
World,WLD,36.8709,-0.0557,,,9024.9661,304.3677,,
Samoa,WSM,17.8429,0.0428,59.0261,-0.1161,3273.7604,145.618,,0.6840555555555554
Kosovo,XKX,,,,,,,,
"Yemen, Rep.",YEM,44.5396,-0.0198,1.0398,0.0,1020.3934,8.811,,
South Africa,ZAF,79.898,-0.0762,14.3552,-0.03,6112.63,163.6076,43.42857142857143,0.6460000000000001
Zambia,ZMB,31.4158,0.0937,62.2781,-0.148,1144.7994,45.7911,37.285714285714285,0.5197222222222222
Zimbabwe,ZWE,41.5037,0.149,46.2848,-0.1191,916.6694,38.2523,21.285714285714285,0.46977777777777774
